ORG_GROUP_ID,DESCRIPTION,BLANK
202-WTRPURDET,202-WTRPURDET Solo Org Group, 
203-FSB,203-FSB Solo Org Group, 
209-MICO,209-MICO Solo Org Group, 
21-MED-CSHOSP,21-MED-CSHOSP Solo Org Group, 
226-QMCO-SPLY,226-QMCO-SPLY Solo Org Group, 
2-3-AVNBN,2-3-AVNBN Solo Org Group, 
2-3-INFBN,2-3-INFBN Solo Org Group, 
24-CSB-HHD,24-CSB-HHD Solo Org Group, 
24-ODCO,24-ODCO Solo Org Group, 
24-SPTGP-HHC,24-SPTGP-HHC Solo Org Group, 
259-QMCO-FSVC,259-QMCO-FSVC Solo Org Group, 
2-69-ARBN,2-69-ARBN Solo Org Group, 
26-FSB,26-FSB Solo Org Group, 
2-7-INFBN,2-7-INFBN Solo Org Group, 
296-SPTBN,296-SPTBN Solo Org Group, 
2-BDE-3ID-HHC,2-BDE-3ID-HHC Solo Org Group, 
3-15-INFBN,3-15-INFBN Solo Org Group, 
317-ENGBN,317-ENGBN Solo Org Group, 
324-SCBN-TRITAC,324-SCBN-TRITAC Solo Org Group, 
334-SIGCO,334-SIGCO Solo Org Group, 
343-QMCO-SPLY,343-QMCO-SPLY Solo Org Group, 
3-69-ARBN,3-69-ARBN Solo Org Group, 
36-MEDEVACBN-GAMBCO,36-MEDEVACBN-GAMBCO Solo Org Group, 
3-7-CAVSQDN,3-7-CAVSQDN Solo Org Group, 
3-7-INFBN,3-7-INFBN Solo Org Group, 
396-TCCO-PLS,396-TCCO-PLS Solo Org Group, 
39-FABTRY,39-FABTRY Solo Org Group, 
3-AVNBDE-HHC,3-AVNBDE-HHC Solo Org Group, 
3-BDE-2ID-HHC,3-BDE-2ID-HHC Solo Org Group, 
3-BDE-3ID-HHC,3-BDE-3ID-HHC Solo Org Group, 
3-DISCOM-HHC,3-DISCOM-HHC Solo Org Group, 
3-FSB,3-FSB Solo Org Group, 
3ID-HHC,3ID-HHC Solo Org Group, 
3-MPCO,3-MPCO Solo Org Group, 
406-TCDET-TPT,406-TCDET-TPT Solo Org Group, 
416-TKCO-POL,416-TKCO-POL Solo Org Group, 
418-TKCO-POL,418-TKCO-POL Solo Org Group, 
4-64-ARBN,4-64-ARBN Solo Org Group, 
512-QMCO-WTRSPLY,512-QMCO-WTRSPLY Solo Org Group, 
5-20-INFBN,5-20-INFBN Solo Org Group, 
52-INF-CCO,52-INF-CCO Solo Org Group, 
553-CSB-HHD,553-CSB-HHD Solo Org Group, 
571-MEDDET-AMBL,571-MEDDET-AMBL Solo Org Group, 
602-MAINTCO,602-MAINTCO Solo Org Group, 
603-DASB,603-DASB Solo Org Group, 
61-ASMEDBN-MEDCO,61-ASMEDBN-MEDCO Solo Org Group, 
632-MAINTCO,632-MAINTCO Solo Org Group, 
703-MSB,703-MSB Solo Org Group, 
89-TKCO-CGO,89-TKCO-CGO Solo Org Group, 
92-ENGBN-CBTHVY,92-ENGBN-CBTHVY Solo Org Group, 
96-TCCO-HET,96-TCCO-HET Solo Org Group, 
CENTCOM-HHC,CENTCOM-HHC Solo Org Group, 
DIVARTY-3ID-HHB,DIVARTY-3ID-HHB Solo Org Group, 
DLAHQ,DLAHQ Solo Org Group, 
ENGBDE-3ID-HHD,ENGBDE-3ID-HHD Solo Org Group, 
IOC,IOC Solo Org Group, 
JTF-HHC,JTF-HHC Solo Org Group, 
NCA,NCA Solo Org Group, 
TRANSCOM,TRANSCOM Solo Org Group, 
GlobalSea,GlobalSea Solo Org Group, 
GlobalAir,GlobalAir Solo Org Group, 
ShipPacker,ShipPacker Solo Org Group, 
PlanePacker,PlanePacker Solo Org Group, 
CONUSGround,CONUSGround Solo Org Group, 
TheaterGround,TheaterGround Solo Org Group, 
