rln,svccode,uic,ulc,utc,unitname,describe,pax,origin,origname,poe,poename,pod,podname,dest,destname,rld,ald,ead,lad,rdd,fdsvcres,nonbaselne,baseline,provorg
AADVP,A,WAGQAA,BN,4YD77,8TH ENGR BN  HVY DIV,ENGR BN  HVY DIV,441,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AADZP,A,WAGRAA,BN,23J77,8TH AR BN 02 TANK BATTALION  H,TANK BATTALION  HVY DIV,558,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAEAP,A,WH0KAA,BN,NHTTT,215TH CS FWD SPT BN  1X2  HVY,FWD SPT BN  1X2  HVY DIV,429,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAEBP,A,WH2DAA,BN,NZH33,115TH CS FWD SPT BN  2X1  HVY,FWD SPT BN  2X1  HVY DIV,435,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAECP,A,WH2EAA,BN,NZH33,15TH CS FWD SPT BN  2X1  HVY D,FWD SPT BN  2X1  HVY DIV,435,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAEDP,A,WH62AA,BN,P7T77,312TH MI BN  CEWI  HVY DIV,MI BN  CEWI  HVY DIV,408,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAEEP,A,WH6BAA,HHC,3E666,227TH AVN BN,HHC  DIV AVN BDE  IDL,150,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAEFP,A,WH85AA,HHC,3E322,1 AVN HHC CBT AIR ATK,HHC  DIV AVN BDE  HVY,81,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAEGP,A,WJDYAA,HHD,42B77,HHD 1ST ENG,HHD  ENGINEER BRIGADE,60,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
AAEHP,A,WJDZAA,BN,NAU77,615TH CS BN DIV AVN SPT BN  HV,DIV AVN SPT BN  HVY DIV,580,HFTZ,Ft Hood,UHGN,Robert Gray Aaf,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,00001,,                              C000,7
NBEJP,A,WH5DAA,HHD,HH644,HHD AMFL,HHD ORD(MNT)BN DS/GS,46,YXVX,Wiesbaden,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,3rd,7
SACFP,A,WH1LAA,CO,J1E33,26th CS CO,S&S CO MAIN SPT BN HVY DIV,132,KBFK,Hanau,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,16th                          C000,
SACGP,A,WE7PAA,CO,J1E33,240th CS CO,S&S CO MAIN SPT BN HVY DIV,132,AVFD,Bamberg,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,7th                           C000,
SACHP,A,WCPPAA,HHD,U7H33,27th TC,HHD  TRANS MOTOR TRANS BN,48,GYRT,Frankfurt,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,3rd                           C000,
SACJP,A,WH3FAA,CO,H1UTT,19th CS CO MAINT MGT,ORDNANCE  MAINT  COMPANY,210,YXVX,Wiesbaden,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,3rd                           C000,
SACKP,A,WH5EAA,CO,6DHGG,SPT ELM,COMMAND SPT COMPANY,81,LYYN,Karlsruhe,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,3rd                           C000,
SAE9P,A,WB5KAA,CO,1D766,529th ORD CO  AMMO  MOADS  DS,(2C) ORD CO  AMMO  MOADS  DS,221,XZCD,Vilseck,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,33908,,7th                           C000,
SAEDP,A,WBG0AA,HHC,NVUTT,3rd LG HHC  CORPS SPT CMD,(2C) HHC  CORPS SPT CMD,326,YXVX,Wiesbaden,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,32441,,                              C000,
SAEGP,A,WET9AA,CO,HH6NN,317th CS MAINT CO NON DIVISION,(2T) MAINT CO NON DIVISIONAL D,199,SDSJ,Nurnberg Furth,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31165,,7th                           C000,
SAEHP,A,WB0MAA,HHC,HH644,18th CS BN DS GS,(2T) HHD ORD MNT BN DS GS,51,KBFK,Hanau,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31129,,16th                          C000,
SAENP,A,WB35AA,CO,HH6NN,77th CS MAINT CO NON DIVISIONA,(2C) MAINT CO NON DIVISIONAL D,199,ASYB,Babenhausen Ksrne,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31133,,16th                          C000,
SAFCP,A,WAOUAA,HHB,1FHEE,17th FA BDE,HHB  FA BDE WITH TACFIRE,134,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,,,                              C000,
SAFDP,A,WCMBAA,CO,UDAAZ,377th TRANS HEAVY TRUCK COMPAN,(2C) TRANS HEAVY TRUCK COMPANY,153,LXJE,Kafertal,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,35675,,7th                           C000,
SAFEP,A,WFKWAA,DET,1GHEE,231st FA DET,TGT ACQ DETACHMENT,38,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,,,                              C000,
SAFFP,A,WA1NAA,BN,17WVV,1/17 FA BN,FA BN 155 SP HVY DIV,702,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,,,                              C000,
SAFGP,A,WA2TAA,BN,17WVV,2/5 FA BN,FA BN 155 SP HVY DIV,702,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,ABQH,Adana,GQSE,Gazi Anter,36,37,38,44,45,,,                              C000,
SAGAP,A,WB0UAA,HHC,HH644,485tH CS BN MNT DS GS,(2C) HHD ORD MNT BN DS GS,51,KBFK,Hanau,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31129,,16th                          C000,
SAHNP,A,WCKXAA,HHD,U7H33,181st TC HHC  TRANS COMPOSITE,HHD  TRANS MOTOR TRANS BN,48,PBJP,Mannheim,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,35524,,7th                           C000,
SAK1P,A,WH7MAA,HHC,NBF22,7th CS HHC  SUPPORT GROUP  COR,(2L) HHC  SUPPORT GROUP  CORPS,110,AVFD,Bamberg,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,32441,,7th                           C000,
SAK6P,A,WE7LAA,CO,HH6NN,596th CS MAINT CO NON DIVISION,(2L) MAINT CO NON DIVISIONAL D,199,FAWH,Darmstadt,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31133,,16th                          C000,
SAKZP,A,WB4SAA,CO,HH6NN,147th CS MAINT CO NON DIVISION,(2L) MAINT CO NON DIVISIONAL D,199,MJJJ,Kitzingen Bn Ops,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31133,,7th                           C000,
SALBP,A,WCNBAA,CO,UBBNN,515th TC MDM TRK CO 5000 GAL T,(2L) T MDM TRK CO 5000 GAL TAN,174,PBJP,Mannheim,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,35692,,7th                           C000,
SAM7P,A,WCMPAA,CO,UL444,41st TC MDM TRK CO 40 FT CNR C,(3T) T MDM TRK CO 40 FT CNR CG,175,PBJP,Mannheim,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,35690,,7th                           C000,
SANCP,A,WCNTAA,CO,UL444,51st TC MDM TRK CO 40 FT CNR C,(3T) T MDM TRK CO 40 FT CNR CG,175,PBJP,Mannheim,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,35690,,7th                           C000,
SAQHP,A,WCK2AA,HHC,34522,159th HHC  AVN GROUP REGIMENT,(3C) HHC  AVN GROUP REGIMENT,69,HWWW,Giebelstadt,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,19018,,7th                           C000,
SAR9P,A,WC9GAA,HHC,NBF22,16th CS HHC  SUPPORT GROUP  CO,(3C) HHC  SUPPORT GROUP  CORPS,110,KBFK,Hanau,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31158,,     16th                     C000,
SARDP,A,WB0RAA,HHC,HH644,71st CS HHD ORD MNT BN DS GS,(3T) HHD ORD MNT BN DS GS,51,AVFD,Bamberg,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31129,,16th                          C000,
SAT4P,A,WET5AA,CO,JWXNN,71st OD MSL SPT CO CORPS,(3C) MSL SPT CO CORPS,90,KBFK,Hanau,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,33912,,16th                          C000,
SAV7P,A,WCFOAA,CO,6GE66,208th SC CO,SIG SPT CO  MSE,53,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,3rd                           C000,
SAV8P,A,WB5KAA,CO,JA4ZZ,529th ORD CO,"ORD CO,AMMO PLS/MOADS,CSA",222,FAWH,Darmstadt,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,7th                           C000,
SAVHP,A,WQ91AA,HHD,J2JEE,125th ORD BN,"HHD, ORD BN (AMMO) DS/GS",50,HDDL,Ft Carson,CVPF,Fort Carson-butts,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,7th                           C000,
SAVKP,A,WQ56AA,CO,JA4ZZ,452nd ORD CO,"ORD CO,AMMO PLS/MOADS,CSA",222,HDDL,Ft Carson,CVPF,Fort Carson-butts,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,7th                           C000,
SAVMP,A,WD4PAA,CO,HH6NN,226th CS MAINT CO NON DIVISION,(2T) MAINT CO NON DIVISIONAL D,199,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31165,,16th                          C000,
SAVNP,A,WQ1FAA,CO,JUHGG,263rd QM CO,QM FLD SVC CO (MODULAR),210,HCRL,Ft Bliss,BPWZ,Biggs Aaf,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,16th                          C000,
SAVPP,A,WE7PAA,CO,JUUTT,240th QM CO,QM SUPPLY CO,124,TGYD,Pirmasens Qm Fac,TYFR,Ramstein Ab,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,16th                          C000,
SAVQP,A,WD4MAA,CO,HH6NN,588th CS MAINT CO NON DIVISION,(2T) MAINT CO NON DIVISIONAL D,199,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,31165,,16th                          C000,
SAVRP,A,WQ92AA,CO,JA4ZZ,592nd ORD CO,"ORD CO,AMMO PLS/MOADS,CSA",222,HDDL,Ft Carson,CVPF,Fort Carson-butts,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,16th                          C000,
SAVSP,A,WSRPAA,HHD,JFXNN,316th QM HHD,"HHD, QM PETRL SUP BN",60,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,7th                           C000,
SAVUP,A,WS1AAA,CO,UBBNN,238th TC MDM TRK CO 5000 GAL T,(2L) T MDM TRK CO 5000 GAL TAN,174,HKNN,Ft Sill,KLZU,Post Aaf-ft Sill,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,35692,,7th                           C000,
SAVVP,A,WSTMAA,CO,J5TNN,900th QM CO,PETROLEUM SUPPLY CO,207,HCRL,Ft Bliss,BPWZ,Biggs Aaf,LQCJ,Iskenderun,GQSE,Gazi Anter,36,37,38,44,45,,,7th                           C000,
R17AP,A,,HHB,1EHEE,,"HHB, FA BRIGADE",116,ZJZY,Wurzburg,TYFR,Ramstein Ab,BGHQ,Ben Gurion,JYDP,Hamah,33,38,40,44,48,,,,7
R17BP,A,WA1QAA,BN,11UNN,FA BATTALION MLRS  06465L000,FA BATTALION MLRS,441,ZJZY,Wurzburg,TYFR,Ramstein Ab,BGHQ,Ben Gurion,JYDP,Hamah,33,38,40,44,48,21825,,,7
R17CP,A,WA1QAA,BN,11UNN,FA BATTALION MLRS  06465L000,FA BATTALION MLRS,441,ZJZY,Wurzburg,TYFR,Ramstein Ab,BGHQ,Ben Gurion,JYDP,Hamah,33,38,40,44,48,21825,,,7
R17DP,A,WA1QAA,BN,11UNN,FA BATTALION MLRS  06465L000,FA BATTALION MLRS,441,ZJZY,Wurzburg,TYFR,Ramstein Ab,BGHQ,Ben Gurion,JYDP,Hamah,33,38,40,44,48,21825,,,7
AR10017,A,,,,,RATIONS,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10020,A,,,,,GENERAL SUPPLY,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10022,A,,,,,PKG POL,0,HDFM,Ft Chaffee,WWYK,Tinker Afb,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10025,A,,,,,CONSTRUCT MAT,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10027,A,,,,,AIR AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10029,A,,,,,GROUND AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10031,A,,,,,PERSONAL DEMAND,0,HHJL,Ft Mcclellan,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10032,A,,,,,ELECTRONIC MEI,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10034,A,,,,,TAC VEH MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10036,A,,,,,MISSLES MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10038,A,,,,,WEAPONS MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10040,A,,,,,MEDICAL MAT,0,LLLB,Ft Indiantown Gap,FJXT,Dover Afb,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10041,A,,,,,WHOLE BLOOD,0,UBHS,Redstone Arsenal,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10042,A,,,,,GND SUPT PARTS,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10044,A,,,,,MAIL,0,LEXG,Hunter Aaf,LEXG,Hunter Aaf,BGHQ,Ben Gurion,AYYM,Batman,,39,40,44,45,,,,A
AR10121,A,,,,,RATIONS,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10124,A,,,,,GENERAL SUPPLY,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10126,A,,,,,PKG POL,0,HDFM,Ft Chaffee,WWYK,Tinker Afb,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10129,A,,,,,CONSTRUCT MAT,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10131,A,,,,,AIR AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10133,A,,,,,GROUND AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10135,A,,,,,PERSONAL DEMAND,0,HHJL,Ft Mcclellan,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10136,A,,,,,ELECTRONIC MEI,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10138,A,,,,,TAC VEH MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10140,A,,,,,MISSLES MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10142,A,,,,,WEAPONS MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10144,A,,,,,MEDICAL MAT,0,LLLB,Ft Indiantown Gap,FJXT,Dover Afb,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10145,A,,,,,WHOLE BLOOD,0,UBHS,Redstone Arsenal,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10146,A,,,,,GND SUPT PARTS,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10148,A,,,,,MAIL,0,LEXG,Hunter Aaf,LEXG,Hunter Aaf,ASHE,Aviano Ab,FGQS,Diyarbakir,,39,40,44,45,,,,A
AR10208,A,,,,,RATIONS,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10211,A,,,,,GENERAL SUPPLY,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10213,A,,,,,PKG POL,0,HDFM,Ft Chaffee,WWYK,Tinker Afb,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10216,A,,,,,CONSTRUCT MAT,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10218,A,,,,,AIR AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10220,A,,,,,GROUND AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10222,A,,,,,PERSONAL DEMAND,0,HHJL,Ft Mcclellan,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10223,A,,,,,ELECTRONIC MEI,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10225,A,,,,,TAC VEH MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10227,A,,,,,MISSLES MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10229,A,,,,,WEAPONS MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10231,A,,,,,MEDICAL MAT,0,LLLB,Ft Indiantown Gap,FJXT,Dover Afb,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10232,A,,,,,WHOLE BLOOD,0,UBHS,Redstone Arsenal,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10233,A,,,,,GND SUPT PARTS,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10235,A,,,,,MAIL,0,LEXG,Hunter Aaf,LEXG,Hunter Aaf,ASHE,Aviano Ab,GQSE,Gazi Anter,,39,40,44,45,,,,A
AR10295,A,,,,,RATIONS,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10298,A,,,,,GENERAL SUPPLY,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10300,A,,,,,PKG POL,0,HDFM,Ft Chaffee,WWYK,Tinker Afb,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10303,A,,,,,CONSTRUCT MAT,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10305,A,,,,,AIR AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10307,A,,,,,GROUND AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10309,A,,,,,PERSONAL DEMAND,0,HHJL,Ft Mcclellan,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10310,A,,,,,ELECTRONIC MEI,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10312,A,,,,,TAC VEH MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10314,A,,,,,MISSLES MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10316,A,,,,,WEAPONS MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10318,A,,,,,MEDICAL MAT,0,LLLB,Ft Indiantown Gap,FJXT,Dover Afb,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10319,A,,,,,WHOLE BLOOD,0,UBHS,Redstone Arsenal,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10320,A,,,,,GND SUPT PARTS,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10322,A,,,,,MAIL,0,LEXG,Hunter Aaf,LEXG,Hunter Aaf,FAAT,Damascus Intl,JYDP,Hamah,,39,40,44,45,,,,A
AR10399,A,,,,,RATIONS,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10402,A,,,,,GENERAL SUPPLY,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10404,A,,,,,PKG POL,0,HDFM,Ft Chaffee,WWYK,Tinker Afb,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10407,A,,,,,CONSTRUCT MAT,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10409,A,,,,,AIR AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10411,A,,,,,GROUND AMMO,0,AKWS,Anniston Army Dep,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10413,A,,,,,PERSONAL DEMAND,0,HHJL,Ft Mcclellan,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10414,A,,,,,ELECTRONIC MEI,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10416,A,,,,,TAC VEH MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10418,A,,,,,MISSLES MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10420,A,,,,,WEAPONS MEI,0,HHJM,Anniston,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10422,A,,,,,MEDICAL MAT,0,LLLB,Ft Indiantown Gap,FJXT,Dover Afb,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10423,A,,,,,WHOLE BLOOD,0,UBHS,Redstone Arsenal,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10424,A,,,,,GND SUPT PARTS,0,UAUW,Red River Depot,UHGN,Robert Gray Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10426,A,,,,,MAIL,0,LEXG,Hunter Aaf,LEXG,Hunter Aaf,MVZK,Larnaca,LJYC,Incirlik Ab,,39,40,44,45,,,,A
AR10503,A,,,,,RATIONS,0,WMYX,Susquehanna Od Dp,FJXT,Dover Afb,MVZK,Larnaca,LQCN,Iskenderun,,39,40,44,45,,,,A
