UNFRMD_SRVC_RNK_CD,SVC_CD,PAY_GRD_CD,USR_SHRT_NM,USR_OFCR_IND_CD,JDL_RCRD_STAT_CD,JDL_RCRD_CHNG_DT,JDL_RCRD_CHNGD_BY_CD,BLANK
 53,M,O1,2dLt,Y,, 2000-01-12 00:00:00,JDL, 
 54,F,E4,SrA,N,, 2000-01-12 00:00:00,JDL, 
 55,N,E8,SCPO,N,, 2000-01-12 00:00:00,JDL, 
 55,P,E8,SCPO,N,, 2000-01-12 00:00:00,JDL, 
 56,F,E8,SMSgt,N,, 2000-01-12 00:00:00,JDL, 
 57,A,E5,SGT,N,, 2000-01-12 00:00:00,JDL, 
 57,M,E5,Sgt,N,, 2000-01-12 00:00:00,JDL, 
 58,A,E7,SFC,N,, 2000-01-12 00:00:00,JDL, 
 59,A,E9,SMA,N,, 2000-01-12 00:00:00,JDL, 
 5G,K,,GS-15,Y,, 2000-01-12 00:00:00,JDL, 
 60,M,E9,SgtMaj,N,, 2000-01-12 00:00:00,JDL, 
 61,A,E4,SPC,N,, 2000-01-12 00:00:00,JDL, 
 62,A,E6,SSG,N,, 2000-01-12 00:00:00,JDL, 
 62,F,E5,SSgt,N,, 2000-01-12 00:00:00,JDL, 
 62,M,E6,SSgt,N,, 2000-01-12 00:00:00,JDL, 
 63,F,E6,TSgt,N,, 2000-01-12 00:00:00,JDL, 
 64,N,O9,VADM,Y,, 2000-01-12 00:00:00,JDL, 
 64,P,O9,VADM,Y,, 2000-01-12 00:00:00,JDL, 
 65,A,W1,WO1,Y,, 2000-01-12 00:00:00,JDL, 
 65,M,W1,W1,Y,, 2000-01-12 00:00:00,JDL, 
 65,N,W1,WO1,Y,, 2000-01-12 00:00:00,JDL, 
 65,P,W1,WO1,Y,, 2000-01-12 00:00:00,JDL, 
 66,A,,CADET,N,, 2000-01-12 00:00:00,JDL, 
 66,F,,CADET,N,, 2000-01-12 00:00:00,JDL, 
 67,N,,MID,N,, 2000-01-12 00:00:00,JDL, 
 67,P,,MID,N,, 2000-01-12 00:00:00,JDL, 
 68,A,,OFF CA,N,, 2000-01-12 00:00:00,JDL, 
 69,F,,,N,, 2000-01-12 00:00:00,JDL, 
 6G,K,,GS-16,Y,, 2000-01-12 00:00:00,JDL, 
 70,F,,,N,, 2000-01-12 00:00:00,JDL, 
 71,N,E3,SN,N,, 2000-01-12 00:00:00,JDL, 
 71,P,E3,,N,, 2000-01-12 00:00:00,JDL, 
 72,N,E2,SA,N,, 2000-01-12 00:00:00,JDL, 
 72,P,E2,,N,, 2000-01-12 00:00:00,JDL, 
 73,N,E1,SR,N,, 2000-01-12 00:00:00,JDL, 
 73,P,E1,,N,, 2000-01-12 00:00:00,JDL, 
 7G,K,,GS-17,Y,, 2000-01-12 00:00:00,JDL, 
 8G,K,,GS-18,Y,, 2000-01-12 00:00:00,JDL, 
 97,A,,,N,, 2000-01-12 00:00:00,JDL, 
 98,F,,,,, 2000-01-12 00:00:00,JDL, 
 99,F,,,Y,, 2000-01-12 00:00:00,JDL, 
 C1,L,,,N,, 2000-01-12 00:00:00,JDL, 
 C2,L,,,N,, 2000-01-12 00:00:00,JDL, 
 C3,L,,,N,, 2000-01-12 00:00:00,JDL, 
 F1,E,,,N,, 2000-01-12 00:00:00,JDL, 
 F2,E,,,N,, 2000-01-12 00:00:00,JDL, 
 F3,E,,,Y,, 2000-01-12 00:00:00,JDL, 
 F4,E,,,Y,, 2000-01-12 00:00:00,JDL, 
 F5,E,,,Y,, 2000-01-12 00:00:00,JDL, 
 FC,L,,,N,, 2000-01-12 00:00:00,JDL, 
 FE,L,,,N,, 2000-01-12 00:00:00,JDL, 
 FN,E,,,N,, 2000-01-12 00:00:00,JDL, 
 FO,L,,,Y,, 2000-01-12 00:00:00,JDL, 
 G0,K,,GS-10,Y,, 2000-01-12 00:00:00,JDL, 
 G1,K,,GS-01,N,, 2000-01-12 00:00:00,JDL, 
 G2,K,,GS-02,N,, 2000-01-12 00:00:00,JDL, 
 G3,K,,GS-03,N,, 2000-01-12 00:00:00,JDL, 
 G4,K,,GS-04,N,, 2000-01-12 00:00:00,JDL, 
 G5,K,,GS-05,N,, 2000-01-12 00:00:00,JDL, 
 G6,K,,GS-06,N,, 2000-01-12 00:00:00,JDL, 
 G7,K,,GS-07,Y,, 2000-01-12 00:00:00,JDL, 
 G8,K,,GS-08,Y,, 2000-01-12 00:00:00,JDL, 
 G9,K,,GS-09,Y,, 2000-01-12 00:00:00,JDL, 
 S1,K,,SES-1,Y,, 2000-01-12 00:00:00,JDL, 
 S2,K,,SES-2,Y,, 2000-01-12 00:00:00,JDL, 
 S3,K,,SES-3,Y,, 2000-01-12 00:00:00,JDL, 
 S4,K,,SES-4,Y,, 2000-01-12 00:00:00,JDL, 
 S5,K,,SES-5,Y,, 2000-01-12 00:00:00,JDL, 
 S6,K,,SES-6,Y,, 2000-01-12 00:00:00,JDL, 
 WB,L,,,N,, 2000-01-12 00:00:00,JDL, 
