CFW_GROUP_ID,ORG_ID,BLANK,IN_SMALL_1AD,IN_TINY_1AD,SUPERIOR_ORG_ID
1AD-TRANS-CFW-GRP,5-MAINTCO, ,,,51-MAINTBN
1AD-TRANS-CFW-GRP,632-MAINTCO, ,,,6-TCBN
1AD-TRANS-CFW-GRP,66-MDM-TRKCO, ,,,28-TCBN
1AD-TRANS-CFW-GRP,68-MDM-TRKCO, ,,,28-TCBN
1AD-TRANS-CFW-GRP,69-ADABDE, ,,,5-CORPS-REAR
1AD-TRANS-CFW-GRP,69-CHEMCO, ,,,1-AD-DIV
1AD-TRANS-CFW-GRP,6-TCBN, ,1,1,37-TRANSGP
1AD-TRANS-CFW-GRP,702-EODDET, ,,,191-ORDBN
1AD-TRANS-CFW-GRP,70-ENGBN, ,,,3-BDE-1-AD
1AD-TRANS-CFW-GRP,71-MAINTBN, ,1,1,7-CSG
1AD-TRANS-CFW-GRP,71-ORDCO, ,,,71-MAINTBN
1AD-TRANS-CFW-GRP,720-EODDET, ,,,191-ORDBN
1AD-TRANS-CFW-GRP,77-MAINTCO, ,,,18-MAINTBN
1AD-TRANS-CFW-GRP,7-CSG, ,1,1,3-SUPCOM-HQ
1AD-TRANS-CFW-GRP,7-TCGP-TPTDD, ,,,21-TSC-HQ
1AD-TRANS-CFW-GRP,900-POL-SUPPLYCO, ,1,,316-POL-SUPPLYBN
1AD-TRANS-CFW-GRP,AVNBDE-1-AD, ,,,1-AD
1AD-TRANS-CFW-GRP,AWR-2, ,1,1,21-TSC-HQ
1AD-TRANS-CFW-GRP,CONUSGround, ,1,1,GlobalSea
1AD-TRANS-CFW-GRP,DISCOM-1-AD, ,1,1,1-AD
1AD-TRANS-CFW-GRP,DIVARTY-1-AD, ,,,1-AD
1AD-TRANS-CFW-GRP,DLAHQ, ,1,1,NCA
1AD-TRANS-CFW-GRP,FORSCOM, ,1,,NCA
1AD-TRANS-CFW-GRP,GlobalAir, ,1,1,TRANSCOM
1AD-TRANS-CFW-GRP,GlobalSea, ,1,1,TRANSCOM
1AD-TRANS-CFW-GRP,HNS, ,1,1,NCA
1AD-TRANS-CFW-GRP,JSRCMDSE, ,,,NATO
1AD-TRANS-CFW-GRP,NATO, ,,,NCA
1AD-TRANS-CFW-GRP,NCA, ,1,1,
1AD-TRANS-CFW-GRP,OSC, ,1,1,NCA
1AD-TRANS-CFW-GRP,PlanePacker, ,1,1,GlobalAir
