COMPONENT_LIB_ID,COMPONENT_TYPE,COMPONENT_CLASS,INSERTION_POINT,DESCRIPTION,BLANK
147-MEDLOGBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,B Co 147 Med Log Bn, 
157-QMCO-FSVC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,157 QM Fld Svc Co, 
1-64-ARBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/64 Tnk Bn, 
180-TCBN-HHD,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,180 TC Bn HHD, 
186-WTRPURDET,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,186 Water Purification Det, 
18-ENGCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,18 Eng Co, 
18-QMPLT,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,18 QM Perishable Sub Plat, 
1-9-FABN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/9FA Bn, 
1-BDE-3ID-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 1 Bde 3ID, 
202-WTRPURDET,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,202 Water Purification Det, 
203-FSB,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,203 Fwd Spt Bn (2x1), 
209-MICO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,209 MI Co, 
21-MED-CSHOSP,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,21 MD Combat Support HSP, 
226-QMCO-SPLY,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,226 QM Supply Co, 
2-3-AVNBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,2/3 Avn Bn Gen Spt, 
2-3-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,2/3 Inf Bn, 
24-CSB-HHD,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHD 24 Corps Spt Bn, 
24-ODCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,24 OD Co Ammo DS PLS, 
24-SPTGP-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 24 Spt Group, 
259-QMCO-FSVC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,259 QM Fld Svc Co, 
2-69-ARBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,2/69 Ar Bn, 
26-FSB,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,26 Fwd Spt Bn (2x1), 
2-7-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,2/7 Inf Bn (Mech), 
296-SPTBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,296 Spt Bn, 
2-BDE-3ID-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 2 Bde 3ID, 
3-15-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,3/15 Inf Bn (Mech), 
317-ENGBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,317 Eng Bn, 
324-SCBN-TRITAC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,324 SC Bn Area EAC TRITAC, 
334-SIGCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,334 Signal Co, 
343-QMCO-SPLY,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,343 QM Supply Co, 
3-69-ARBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,3/69 Tnk Bn, 
36-MEDEVACBN-GAMBCO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,Gnd Amb Co 36 Med Evac Bn, 
3-7-CAVSQDN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,3/7 Cav Sqdrn, 
