CFW_ID,ORG_ID,SUPERIOR_ORG_ID,BLANK,ORIG_ORDER,ORG_ORDER
1AD-CFW,HNS,NCA, ,5,125
1AD-CFW,JSRCMDSE,NATO, ,9,126
1AD-CFW,NATO,NCA, ,8,127
1AD-CFW,NCA,, ,1,128
1AD-CFW,OSC,NCA, ,4,129
TRANSCOM-CFW,PlanePacker,GlobalAir, ,14,138
1AD-CFW,RSA,21-TSC-HQ, ,117,130
TRANSCOM-CFW,ShipPacker,GlobalSea, ,13,137
TRANSCOM-CFW,TheaterGround,GlobalSea, ,16,140
TRANSCOM-STUB-CFW,TRANSCOM,NCA, ,10,133
TRANSCOM-CFW,TRANSCOM,NCA, ,10,134
1AD-CFW,USAEUR,USEUCOM, ,7,131
1AD-CFW,USEUCOM,NCA, ,6,132
