TI_ID,SCL_CD,TI_NM,TI_CGO_CPCTY_QY,TI_BLCK_BRC_SRC_ID,TI_SUTBLTY_ID,JDL_RCRD_STAT_CD,JDL_RCRD_CHNG_DT,JDL_RCRD_CHNGD_BY_CD,LEAD_NSN,FUEL_BURNER,BLANK
R11154,,RAMP LOAD VEHICLE,0,6032,,, 2000-01-12 00:00:00,JDL,,NO, 
R50544,,RECOVERY VEH FTRAC,2000,8005,,, 2000-01-12 00:00:00,JDL,,YES, 
R50681,,RECOVERY VEH FTRAC,2000,6980,,, 2000-01-12 00:00:00,JDL,,YES, 
S10059,,STLR TANK FUEL 5000 G,35000,6965,,, 2000-01-12 00:00:00,JDL,,YES, 
S11711,,ROLLER MTZ STEEL WHL,0,3026,,, 2000-01-12 00:00:00,JDL,,NO, 
S12916,,ROLLER VIBRATORY,0,8086,,, 2000-01-12 00:00:00,JDL,,YES, 
S30914,,SHOP EQPT GP TRK MTD,0,M988,,, 2000-01-12 00:00:00,JDL,,NO, 
S30982,,SHOP EQPT GP TRK MTD,0,8000,,, 2000-01-12 00:00:00,JDL,,NO, 
S37228,,SWITCHING GROUP,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
S47921,,SPARES FACILITY,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
S56246,,SCRAPER EARTH MVG SP,0,6100,,, 2000-01-12 00:00:00,JDL,,YES, 
S70027,,STLR FLATBED 22 1/2 T,45000,6965,,, 2000-01-12 00:00:00,JDL,,NO, 
S70159,,STLR FLATBED 34-TON,68000,8133,,, 2000-01-12 00:00:00,JDL,,NO, 
S70243,,STLR LOW BED WKR 12 T,30000,8035,,, 2000-01-12 00:00:00,JDL,,NO, 
S70517,,STLR LOW BED 15-25 T,50000,8035,,, 2000-01-12 00:00:00,JDL,,NO, 
S70594,,STLR LOW BED 40 TON,80000,8084,,, 2000-01-12 00:00:00,JDL,,NO, 
S70859,,STLR LOWBED 70-TON,140000,,,, 2000-01-12 00:00:00,JDL,,NO, 
S72983,,STLR TANK FSVC 5000 G,35000,8035,,, 2000-01-12 00:00:00,JDL,,NO, 
S73372,,STLR TK 5000 GAL AUTO,35000,6965,,, 2000-01-12 00:00:00,JDL,,YES, 
S74079,,STLR VAN CARGO 12 TON,24000,8035,,, 2000-01-12 00:00:00,JDL,,NO, 
S74216,,STLR VAN ELCT 3-6 TON,12000,6965,,, 2000-01-12 00:00:00,JDL,,NO, 
S74490,,STLR VAN EXP 6 TON(A),12000,6965,,, 2000-01-12 00:00:00,JDL,,NO, 
S74832,,STLR VAN RPR PT STOR,12000,6965,,, 2000-01-12 00:00:00,JDL,,NO, 
S75038,,STLR VAN SHOP 6 TON,12000,6065,,, 2000-01-12 00:00:00,JDL,,NO, 
S75175,,STLR VAN SUPPLY 12TON,24000,8035,,, 2000-01-12 00:00:00,JDL,,NO, 
T07543,,TRUCK UTILITY 4X4,3331,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
T07679,7K,"TRK UTIL, HVY HMMWV",4400,L988,,, 2000-01-12 00:00:00,JDL,,YES, 
T10138,,SHOP EQUIP TRK MTD,100,L988,,, 2000-01-12 00:00:00,JDL,,YES, 
T10275,,SHOP EQUIP STLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
T10549,,SHOP EQUIP STLR MTD,0,6065,,, 2000-01-12 00:00:00,JDL,,YES, 
T13152,,SHOP EQUIP ORG TRKMTD,100,M988,,, 2000-01-12 00:00:00,JDL,,NO, 
T13168,,TANK COMBAT FTRAC,7080,,,, 2000-01-12 00:00:00,JDL,,YES, 
T16988,,SHOP EQUIP TLR MTD,0,8104,,, 2000-01-12 00:00:00,JDL,,NO, 
T30377,,TOOL OUTFIT TLR MTD,0,8074,,, 2000-01-12 00:00:00,JDL,,NO, 
T33786,,TRACTOR WHEELED DED,0,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
T38844,,TRK AMB 4 LITTER 4X4,1215,L988,,, 2000-01-12 00:00:00,JDL,,YES, 
T39518,,TRUCK CARGO 10T 8X8,20000,8132,,, 2000-01-12 00:00:00,JDL,,YES, 
T39586,,"TRUCK CARG0, TACT, HEMTT",20000,8132,,, 2000-01-12 00:00:00,JDL,,YES, 
T39654,,"TRUCK CARG0, TACT, HEMTT",20000,8132,,, 2000-01-12 00:00:00,JDL,,YES, 
T40999,,TRK CGO HVY PLS TRANS 15-16.5T 10X,33000,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
T41067,,TRK CGO HVY PLS TRANS 15-16.5T 10X,33000,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
T41135,,TRK CARGO: MTV W/EQUIP,10000,,,, 2000-01-12 00:00:00,JDL,,YES, 
T42725,,TRUCK CONCRETE MOB MX,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
T45465,,TRAILER FLATBED 11 T,22000,6067,,, 2000-01-12 00:00:00,JDL,,NO, 
