TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TID_VLDTN_CD,TYPE_PACK_CODE,TID_RDBL_CD,FTY_CD,TID_PRFNC_CD,TID_LG_DM,TID_WDTH_DIM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_VNTG_CD,TID_WHL_BS_DM,TID_TLSCPD_LG_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,TID_TRLR_TNG_LG_DM,TID_CRAF_RQMT_TX,BLANK
 01,L76556,B,A,1,D, 3805000519359,,,N,,,283,102,8,130,25490,2172,,0,C,,163,13,0,N,0,0,0,0,0,,116,,12,0024,645M,,, 
 01,L85283,D,R,2,D, 4930000179167,,,R,,,175,98,6,80,5300,794,,0,A,,114,0,0,N,0,0,0,0,0,,0,,3,0003,901765-1,,, 
 01,M04268,0,R,2,D, 5895012470963,,,R,,,195,87,4,105,8420,1031,,0,A,,105,0,0,N,0,0,0,0,0,,0,,5,0005,AN/TSQ-154,,, 
 01,M21948,0,A,1,D, 5895011657408,,,N,,,240,109,C,137,37224,2074,,0,C,,0,0,0,N,0,0,0,0,0,,0,,0,0000,AN/TSQ-138,,, 
 01,M68405,D,R,3,B, 1015012261672,,,R,,,95,60,F,45,720,149,,0,A,,0,0,0,Y,0,0,0,0,0,,0,,0,0000,K6A1,,, 
 01,P11866,B,R,2,D, 3820009508584,,,R,,,214,97,7,83,8910,997,,0,A,,113,0,0,N,0,0,0,0,0,,0,,5,0005,250 CFM,,, 
 01,P28015,B,R,2,D, 6115000331398,,,R,,,171,84,6,98,5200,815,,0,A,,108,0,0,N,0,0,0,0,0,,0,,3,0003,AN/MJQ-18,,, 
 01,P28083,D,R,2,B, 6115013134216,,,R,,,154,84,6,74,3087,554,,0,A,,102,0,0,N,0,0,0,0,0,,0,,2,0002,AN/MJQ-35,,, 
 01,P28151,D,R,2,B, 6115013134215,,,R,,,165,83,6,71,3785,563,,0,A,,0,0,0,N,0,0,0,0,0,,0,,2,0002,AN/MJQ-36,,, 
 01,P42262,D,R,2,B, 6115012996035,,,R,,,169,83,6,71,3785,577,,0,A,,105,0,0,N,0,0,0,0,0,,0,,2,0002,AN/MJQ-37,,, 
 01,P44627,D,R,3,B, 1730011441897,,,R,,,90,50,6,60,3000,157,,0,A,,50,0,0,Y,0,0,0,0,0,,0,,2,0002,(AGPU),,, 
 01,P97051,D,R,3,B, 4320006911071,,,R,,,81,54,6,51,1825,129,,0,A,,40,0,0,Y,0,0,0,0,0,,0,,1,0001,GR04A12MGDAD,,, 
 01,P97119,B,R,2,B, 4320011415154,,,R,,,122,70,6,68,2140,336,,0,A,,104,0,0,N,0,0,0,0,0,,0,,1,0001,13226E2289,,, 
 01,R11154,D,R,2,D, 3990010261575,,,R,,,433,96,7,40,5660,963,,0,H,,107,0,0,N,0,0,0,0,0,,0,,3,0003,MDS169636,,, 
 01,R50544,B,A,1,D, 2350004396242,,,N,,,254,124,C,131,49320,2388,,0,C,,125,17,120,N,0,0,0,0,0,,148,,25,0025,M578,,, 
 01,R50681,B,A,1,D, 2350006785772,,,N,,,321,135,C,127,107600,3185,,0,E,,0,17,120,N,0,0,0,0,0,,0,,53,0055,M88,,, 
 01,S10059,D,R,2,D, 2330010505632,,,R,,,368,96,7,104,13300,2127,,0,B,,0,20,2230,N,0,0,0,0,0,,178,,15,0029,M967,,, 
 01,S11711,D,A,2,B, 3895005780372,,,N,,,201,65,8,77,21050,583,,0,C,,103,0,0,N,0,0,0,0,0,,0,,10,0000,C350B-D,,, 
 01,S12916,B,A,2,D, 3895010128875,,,N,,,218,96,8,100,18650,1212,,0,B,,0,0,0,N,0,0,0,0,0,,109,,10,0000,RS28,,, 
 01,S30914,D,R,2,D, 4940012098824,,,R,,,219,85,3,84,9200,905,,0,A,,0,0,0,N,0,0,0,0,0,,0,,5,0005,ENG,,, 
 01,S30982,D,R,2,C, 4940012098825,,,R,,,221,84,3,84,8080,903,,0,A,,113,0,0,N,0,0,0,0,0,,0,,5,0005,ORD,,, 
 01,S37228,D,R,1,D, 5895013294811,,,R,,,189,87,4,107,9100,1019,,0,A,,0,0,0,N,0,0,0,0,0,,0,,0,0000,ON-306(V)1,,, 
 01,S47921,0,R,2,D, 4940012466819,,,R,,,189,87,4,105,7420,1000,,0,A,,0,0,0,N,0,0,0,0,0,,0,,4,0004,AN/TSM-183,,, 
