COMPONENT_ALIB_ID,COMPONENT_NAME,COMPONENT_LIB_ID,COMPONENT_TYPE,CLONE_SET_ID,BLANK
1-10-FABN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,0, 
1-10-FABN|org.cougaar.lib.planserver.PlanServerPlugIn,1-10-FABN|org.cougaar.lib.planserver.PlanServerPlugIn,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,0, 
110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,0, 
110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,0, 
110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,0, 
110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,110-QMCO-POLSPLY|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,0, 
110-QMCO-POLSPLY|org.cougaar.lib.planserver.PlanServerPlugIn,110-QMCO-POLSPLY|org.cougaar.lib.planserver.PlanServerPlugIn,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,0, 
1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,1-10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,0, 
