CFW_ID,ROLE,ORG_ID,ORG_GROUP_ID,START_DATE,END_DATE,BLANK
3ID-CFW,HETTransportationProvider,703-MSB,203-FSB,1-Jan-00,, 
3ID-CFW,HETTransportationProvider,703-MSB,26-FSB,1-Jan-00,, 
3ID-CFW,HETTransportationProvider,703-MSB,296-SPTBN,1-Jan-00,, 
3ID-CFW,HETTransportationProvider,703-MSB,3-FSB,1-Jan-00,, 
3ID-CFW,HETTransportationProvider,703-MSB,603-DASB,1-Jan-00,, 
3ID-CFW,MaterielTransportProvider,703-MSB,203-FSB,1-Jan-00,, 
3ID-CFW,MaterielTransportProvider,703-MSB,26-FSB,1-Jan-00,, 
3ID-CFW,MaterielTransportProvider,703-MSB,296-SPTBN,1-Jan-00,, 
3ID-CFW,MaterielTransportProvider,703-MSB,3-FSB,1-Jan-00,, 
3ID-CFW,MaterielTransportProvider,703-MSB,603-DASB,1-Jan-00,, 
3ID-CFW,PackagedPOLSupplyProvider,703-MSB,203-FSB,1-Jan-00,, 
3ID-CFW,PackagedPOLSupplyProvider,703-MSB,26-FSB,1-Jan-00,, 
3ID-CFW,PackagedPOLSupplyProvider,703-MSB,296-SPTBN,1-Jan-00,, 
3ID-CFW,PackagedPOLSupplyProvider,703-MSB,3-FSB,1-Jan-00,, 
3ID-CFW,PackagedPOLSupplyProvider,703-MSB,3ID-DIV-OG,1-Jan-00,, 
3ID-CFW,PackagedPOLSupplyProvider,703-MSB,603-DASB,1-Jan-00,, 
3ID-CFW,SparePartsProvider,703-MSB,3ID-DIV-OG,1-Jan-00,, 
3ID-CFW,SubsistenceSupplyProvider,703-MSB,203-FSB,1-Jan-00,, 
3ID-CFW,SubsistenceSupplyProvider,703-MSB,26-FSB,1-Jan-00,, 
3ID-CFW,SubsistenceSupplyProvider,703-MSB,296-SPTBN,1-Jan-00,, 
3ID-CFW,SubsistenceSupplyProvider,703-MSB,3-FSB,1-Jan-00,, 
3ID-CFW,SubsistenceSupplyProvider,703-MSB,3ID-DIV-OG,1-Jan-00,, 
3ID-CFW,SubsistenceSupplyProvider,703-MSB,603-DASB,1-Jan-00,, 
3ID-CFW,MaterielTransportProvider,89-TKCO-CGO,10-TCBN-HHC,1-Jan-00,, 
3ID-CFW,MaterielTransportProvider,89-TKCO-CGO,553-CSB-HHD,1-Jan-00,, 
