ROLE,SUPPORTING_ORG_ID,SUPPORTED_ORG_ID,START_DATE,END_DATE,BLANK
"SparePartsProvider","47-FSB","2-6-INFBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","47-FSB","2-6-INFBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","2-6-INFBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-FSB","2-70-ARBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","125-FSB","2-70-ARBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","125-FSB","2-70-ARBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","125-FSB","2-70-ARBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","125-FSB","2-70-ARBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","2-70-ARBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","47-FSB","2-BDE-1-AD","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","47-FSB","2-BDE-1-AD","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","47-FSB","2-BDE-1-AD","2005-01-01 00:00:00",\N,
"SparePartsProvider","47-FSB","2-BDE-1-AD","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","47-FSB","2-BDE-1-AD","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","2-BDE-1-AD","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","200-MMC","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","205-MIBDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","205-MIBDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","205-MIBDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","205-MIBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","205-MIBDE","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","205-MIBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","208-SCCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","TRANSCOM","21-TSC-HQ","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","22-SIGBDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","22-SIGBDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","22-SIGBDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","22-SIGBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","22-SIGBDE","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","22-SIGBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","226-MAINTCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","227-SUPPLYCO","2005-01-01 00:00:00",\N,
"MaterielTransportProvider","106-TCBN","227-SUPPLYCO","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","343-SUPPLYCO","227-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","23-ORDCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","238-POL-TRKCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","24-ORDCO","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","227-SUPPLYCO","240-SSCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","900-POL-SUPPLYCO","240-SSCO","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","900-POL-SUPPLYCO","240-SSCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","240-SSCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","244-ENGBN-CBTHVY","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","244-ENGBN-CBTHVY","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","244-ENGBN-CBTHVY","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","244-ENGBN-CBTHVY","2005-01-01 00:00:00",\N,
