ORG_ID,TI_ID,UNIT_IDENTIFIER,UNIT_EQUIPMENT_QTY
1-41-INFBN,W95537,WAHSAA,4
1-41-INFBN,X40146,WAHSAA,4
1-41-INFBN,T39518,WAHSAA,4
1-41-INFBN,C10990,WAHSAA,4
1-41-INFBN,T92242,WAHSAA,5
1-41-INFBN,T92310,WAHSAA,5
1-41-INFBN,R50681,WAHSAA,6
1-41-INFBN,T87243,WAHSAA,6
1-41-INFBN,T59278,WAHSAA,6
1-41-INFBN,W98825,WAHSAA,7
1-41-INFBN,D11538,WAHSAA,7
1-41-INFBN,C18234,WAHSAA,14
1-41-INFBN,W95811,WAHSAA,22
1-41-INFBN,T61494,WAHSAA,27
1-41-INFBN,X40009,WAHSAA,28
1-41-INFBN,F40375,WAHSAA,44
1-501-AVNBN,T63093,WAFDAA,1
1-501-AVNBN,X40146,WAFDAA,1
1-501-AVNBN,W93995,WAFDAA,1
1-501-AVNBN,L28351,WAFDAA,1
1-501-AVNBN,F43003,WAFDAA,1
1-501-AVNBN,J35492,WAFDAA,1
1-501-AVNBN,T96883,WAFDAA,1
1-501-AVNBN,X23227,WAFDAA,1
1-501-AVNBN,X62340,WAFDAA,1
1-501-AVNBN,X40794,WAFDAA,1
1-501-AVNBN,C32887,WAFDAA,1
1-501-AVNBN,T39518,WAFDAA,2
1-501-AVNBN,T07679,WAFDAA,2
1-501-AVNBN,F79334,WAFDAA,2
1-501-AVNBN,K28601,WAFDAA,2
1-501-AVNBN,K24931,WAFDAA,2
1-501-AVNBN,T58161,WAFDAA,2
1-501-AVNBN,X40931,WAFDAA,2
1-501-AVNBN,W98825,WAFDAA,3
1-501-AVNBN,X48914,WAFDAA,3
1-501-AVNBN,G34805,WAFDAA,3
1-501-AVNBN,P44627,WAFDAA,4
1-501-AVNBN,T87243,WAFDAA,5
1-501-AVNBN,T59278,WAFDAA,6
1-501-AVNBN,T45465,WAFDAA,12
1-501-AVNBN,X40009,WAFDAA,14
1-501-AVNBN,W95811,WAFDAA,15
1-501-AVNBN,W95537,WAFDAA,18
1-501-AVNBN,T61494,WAFDAA,24
1-501-AVNBN,H28647,WAFDAA,24
1-6-INFBN,X40931,WAPSAA,1
1-6-INFBN,X63299,WAPSAA,1
