TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TYPE_PACK_CODE,TID_RDBL_CD,TID_LG_DM,TID_WDTH_DM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_WHL_BS_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,BLANK
1,G78306,D,R,2,D,6.12E+12,\N,R,165,95,6,87,6720,790,\N,0,A,\N,115,0,0,N,0,0,0,0,0,0,4,4,PU-805,
1,H01855,B,R,1,D,4.94E+12,\N,R,422,96,7,132,15490,3095,\N,0,J,\N,0,0,0,N,0,0,0,0,0,0,9,21,AN/ASM-189,
1,H28647,8,B,0,D,1.52E+12,\N,N,684,576,H,207,13614,47196,\N,0,J,\N,0,0,0,N,0,0,0,0,0,0,0,0,AH-64A,
1,H30616,8,B,0,D,1.52E+12,\N,N,778,644,H,205,16250,59440,\N,0,J,\N,0,0,0,N,0,0,0,0,0,0,0,0,EH-60A,
1,H56391,B,R,1,D,4.21E+12,\N,R,272,95,4,106,15920,1585,\N,0,B,\N,142,0,0,N,0,0,0,0,0,0,9,9,CLASS 530,
1,H57642,B,A,1,D,2.35E+12,\N,N,423,128,E,143,56400,4481,\N,0,K,\N,0,15,0,N,0,0,0,0,0,0,0,0,M109A6,
1,J35492,B,R,2,D,6.12E+12,\N,R,190,97,7,93,6600,992,\N,0,A,\N,0,17,0,N,0,0,0,0,0,120,4,4,PU-405/M,
1,J36383,B,R,2,D,6.12E+12,\N,R,190,97,7,83,7120,886,\N,0,A,\N,0,9,0,N,0,0,0,0,0,120,4,4,PU-406A/M,
1,J46252,B,R,2,C,6.12E+12,\N,R,147,77,6,83,2100,544,\N,0,A,\N,0,0,0,N,0,0,0,0,0,100,1,1,PU-625/G,
1,J47617,B,R,2,B,6.12E+12,\N,R,147,74,6,74,2840,466,\N,0,A,\N,103,0,0,N,0,0,0,0,0,100,2,2,PU-620/M,
1,J49055,D,A,3,B,6.12E+12,\N,N,73,30,6,34,557,43,\N,0,A,\N,61,0,0,Y,0,0,0,0,0,0,0,0,EAPU,
1,K24931,B,A,3,B,4.52E+12,\N,N,91,40,6,51,600,108,\N,0,A,\N,45,0,0,Y,0,0,0,0,0,0,0,0,BT400-30,
1,K25215,D,R,2,D,3.90E+12,\N,R,169,88,9,104,8530,895,\N,0,A,\N,128,0,0,N,0,0,0,0,0,121,5,5,NONE,
1,K28601,0,R,2,D,7.36E+12,\N,R,254,91,7,93,5480,1244,\N,0,A,\N,109,0,0,N,0,0,0,0,0,0,3,3,COMPANY LVL,
1,K32293,8,B,0,D,1.52E+12,\N,N,779,644,H,205,17000,59516,\N,0,J,\N,0,0,312,N,139,73,53,26,26,0,0,0,UH-60A,
1,L21437,B,R,2,B,3.90E+12,\N,R,144,68,9,68,1830,386,\N,0,A,\N,64,0,0,N,0,0,0,0,0,0,1,1,US84HD3,
1,L28351,D,R,2,D,7.36E+12,\N,R,183,94,6,96,5340,956,\N,96,A,\N,109,0,250,N,0,0,0,0,0,0,3,5,MFK75,
1,L33800,D,R,1,D,6.64E+12,\N,R,317,98,7,122,14740,2194,\N,0,B,\N,0,0,0,N,0,0,0,0,0,0,9,9,NONE,
1,L43664,B,A,1,D,5.42E+12,\N,N,468,144,C,95,90425,3705,\N,0,L,\N,0,0,0,N,0,0,0,0,0,0,45,59,M60 CHASSIS,
1,L44894,D,A,2,D,1.06E+12,\N,N,275,117,C,104,43941,1937,\N,0,C,\N,128,17,0,N,0,0,0,0,0,171,0,0,MLRS,
1,L48315,D,R,2,D,3.51E+12,\N,R,198,98,7,97,9015,1090,\N,97,A,\N,0,0,5,N,0,0,0,0,0,0,5,5,ELT9T,
1,L67342,D,R,2,D,1.06E+12,\N,R,187,96,7,71,6109,738,\N,0,A,\N,136,0,0,N,0,0,0,0,0,0,4,4,MICLIC,
1,L69306,0,R,1,D,5.82E+12,\N,R,189,87,3,107,8180,1019,\N,0,A,\N,102,0,0,N,0,0,0,0,0,0,5,5,AN/TRC-190V1,
1,L69442,0,R,1,D,5.82E+12,\N,R,189,87,3,107,8300,1019,\N,0,A,\N,104,0,0,N,0,0,0,0,0,0,5,5,AN/TRC-190V3,
1,L76315,B,A,1,D,3.81E+12,\N,N,316,125,8,152,53030,3475,\N,0,C,\N,194,0,0,N,0,0,0,0,0,0,27,76,175B,
1,L76321,B,A,1,D,3.81E+12,\N,N,316,122,8,152,53640,3392,\N,0,C,\N,184,0,0,N,0,0,0,0,0,0,27,76,175B,
1,L76556,B,A,1,D,3.81E+12,\N,N,283,102,8,130,25490,2172,\N,0,C,\N,163,13,0,N,0,0,0,0,0,116,12,24,645M,
1,L85283,D,R,2,D,4.93E+12,\N,R,175,98,6,80,5300,794,\N,0,A,\N,114,0,0,N,0,0,0,0,0,0,3,3,901765-1,
1,M04268,0,R,2,D,5.90E+12,\N,R,195,87,4,105,8420,1031,\N,0,A,\N,105,0,0,N,0,0,0,0,0,0,5,5,AN/TSQ-154,
1,M21948,0,A,1,D,5.90E+12,\N,N,240,109,C,137,37224,2074,\N,0,C,\N,0,0,0,N,0,0,0,0,0,0,0,0,AN/TSQ-138,
1,M68405,D,R,3,B,1.02E+12,\N,R,95,60,F,45,720,149,\N,0,A,\N,0,0,0,Y,0,0,0,0,0,0,0,0,K6A1,
1,P11866,B,R,2,D,3.82E+12,\N,R,214,97,7,83,8910,997,\N,0,A,\N,113,0,0,N,0,0,0,0,0,0,5,5,250 CFM,
1,P28015,B,R,2,D,6.12E+12,\N,R,171,84,6,98,5200,815,\N,0,A,\N,108,0,0,N,0,0,0,0,0,0,3,3,AN/MJQ-18,
1,P28083,D,R,2,B,6.12E+12,\N,R,154,84,6,74,3087,554,\N,0,A,\N,102,0,0,N,0,0,0,0,0,0,2,2,AN/MJQ-35,
1,P28151,D,R,2,B,6.12E+12,\N,R,165,83,6,71,3785,563,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,2,2,AN/MJQ-36,
1,P42262,D,R,2,B,6.12E+12,\N,R,169,83,6,71,3785,577,\N,0,A,\N,105,0,0,N,0,0,0,0,0,0,2,2,AN/MJQ-37,
1,P44627,D,R,3,B,1.73E+12,\N,R,90,50,6,60,3000,157,\N,0,A,\N,50,0,0,Y,0,0,0,0,0,0,2,2,(AGPU),
1,P97051,D,R,3,B,4.32E+12,\N,R,81,54,6,51,1825,129,\N,0,A,\N,40,0,0,Y,0,0,0,0,0,0,1,1,GR04A12MGDAD,
1,P97119,B,R,2,B,4.32E+12,\N,R,122,70,6,68,2140,336,\N,0,A,\N,104,0,0,N,0,0,0,0,0,0,1,1,13226E2289,
1,R11154,D,R,2,D,3.99E+12,\N,R,433,96,7,40,5660,963,\N,0,H,\N,107,0,0,N,0,0,0,0,0,0,3,3,MDS169636,
1,R50544,B,A,1,D,2.35E+12,\N,N,254,124,C,131,49320,2388,\N,0,C,\N,125,17,120,N,0,0,0,0,0,148,25,25,M578,
1,R50681,B,A,1,D,2.35E+12,\N,N,321,135,C,127,107600,3185,\N,0,E,\N,0,17,120,N,0,0,0,0,0,0,53,55,M88,
1,S10059,D,R,2,D,2.33E+12,\N,R,368,96,7,104,13300,2127,\N,0,B,\N,0,20,2230,N,0,0,0,0,0,178,15,29,M967,
1,S11711,D,A,2,B,3.90E+12,\N,N,201,65,8,77,21050,583,\N,0,C,\N,103,0,0,N,0,0,0,0,0,0,10,0,C350B-D,
1,S12916,B,A,2,D,3.90E+12,\N,N,218,96,8,100,18650,1212,\N,0,B,\N,0,0,0,N,0,0,0,0,0,109,10,0,RS28,
1,S30914,D,R,2,D,4.94E+12,\N,R,219,85,3,84,9200,905,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,5,5,ENG,
1,S30982,D,R,2,C,4.94E+12,\N,R,221,84,3,84,8080,903,\N,0,A,\N,113,0,0,N,0,0,0,0,0,0,5,5,ORD,
1,S37228,D,R,1,D,5.90E+12,\N,R,189,87,4,107,9100,1019,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,0,0,ON-306(V)1,
1,S47921,0,R,2,D,4.94E+12,\N,R,189,87,4,105,7420,1000,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,4,4,AN/TSM-183,
1,S56246,B,A,1,D,3.81E+12,\N,N,501,140,8,140,64950,5683,\N,0,L,\N,0,0,0,N,0,0,0,0,0,0,57,93,621B,
1,S70027,B,R,2,D,2.33E+12,\N,R,358,96,7,103,15760,2049,\N,103,B,\N,199,0,856,N,350,88,48,55,55,0,7,25,M871,
1,S70159,B,R,1,D,2.33E+12,\N,R,490,96,7,106,17390,2886,\N,106,J,\N,0,12,1253,N,485,93,48,58,58,368,7,40,M872,
1,S70243,B,R,1,D,2.33E+12,\N,R,597,98,7,121,16520,4097,\N,121,J,\N,357,0,1904,N,476,96,72,49,49,406,10,27,M270A1,
1,S70517,D,R,2,D,2.33E+12,\N,R,416,115,7,87,16285,2409,\N,87,B,\N,285,36,614,N,192,115,48,39,39,0,10,39,M172A1 25TON,
1,S70594,B,R,1,D,2.33E+12,\N,R,510,120,7,70,16918,2480,\N,70,J,\N,317,14,744,N,357,120,30,40,40,388,5,57,M870,
1,S70859,B,R,1,D,2.33E+12,\N,R,622,144,7,124,50400,6428,\N,126,K,\N,430,0,2323,N,403,120,83,43,43,0,30,112,M1000,
1,S72983,D,R,1,D,2.33E+12,\N,R,376,96,7,107,14250,2236,\N,0,B,\N,253,0,2276,N,0,0,0,0,0,212,8,29,M131A5C,
1,S73372,D,R,2,D,2.33E+12,\N,R,368,96,7,105,16060,2147,\N,0,B,\N,239,20,2146,N,0,0,0,0,0,178,9,30,M969,
1,S74079,B,R,1,D,2.33E+12,\N,R,354,99,7,146,15850,2961,\N,0,B,\N,199,10,1354,N,337,89,78,57,57,164,9,23,M128A2C,
1,S74216,D,R,1,D,2.33E+12,\N,R,325,99,7,133,8820,2477,\N,0,A,\N,188,0,1309,N,314,90,80,38,38,259,5,12,M348A2 6 TON,
1,S74490,B,R,1,D,2.33E+12,\N,R,327,96,7,134,15890,2435,12000,\N,B,\N,\N,\N,218,\N,\N,\N,\N,\N,\N,\N,\N,\N,M313,
1,S74832,B,R,1,D,2.33E+12,\N,R,323,95,7,132,15380,2344,\N,0,B,\N,0,0,1141,N,267,90,82,42,42,244,9,16,M750 6 TON,
