ORG_ID,UNIT_IDENTIFIER,MILITARY_ORGANIZATION_CODE,UL_CD,UN_ABBRD_NM,GELOC_CD,UNT_CD,UN_CMP_CD,UN_NM
501-MIBN-CEWI,WH6YAA,A,BN,"MI BN     CEWI",AJPG,PUTTT,R,501ST MILITARY INTELLIGENCE BN
501-MPCO,WAPCAA,A,CO,"MP CO     DIVIS",ULRK,QYTTT,R,501ST MILITARY POLICE COMPANY
51-MAINTBN,WB0HAA,A,HHD,"CS HHD    MNT D",VYZR,HH644,R,51ST MAINTENANCE BN HHD
51-MDM-TRKCO,WCNTAA,A,CO,"TC CO     M TRK",XJN1,UL444,R,51ST TRANSPORTATION CO
512-MAINTCO,WB38AA,A,CO,"CS CO     MAINT",VYZR,HH6NN,R,512TH MAINTENANCE CO
515-POL-TRKCO,WCNBAA,A,CO,"TC CO     MDM T",XJN1,UBBNN,R,515TH TRANSPORTATION CO
52-ENGBN-CBTHVY,WNAHAA,A,BN,"EN BN     CBT H",HDDL,45QNN,R,EN BN     CBT H
529-ORDCO,WB5KAA,A,CO,"OD CO     AMMO",VXWV,JD4ZZ,R,529TH ORDNANCE CO
541-POL-TRKCO,WCNDAA,A,CO,"TC CO     MDM T",HDBL,UBBNN,R,TC CO     MDM T
561-SSBN,WDEEAA,A,HHD,"CS HHD    SUP",HDBL,N21VV,R,561ST SUPPORT BN HHD
565-RPRPTCO,WDWTAA,A,CO,"CS CO     REP P",HFTZ,J7Z77,R,565TH QUARTERMASTER COMPANY
574-SSCO,WDCQAA,A,CO,"CS CO     SUP S",VYZR,JUUTT,R,574TH SUPPLY AND SERVICE CO
584-MAINTCO,WEYBAA,A,CO,"CS CO     MAINT",HDBL,HH6NN,R,584TH MAINTENANCE CO
588-MAINTCO,WD4MAA,A,CO,"CS CO     MAINT",HKNN,HH6NN,R,588TH MAINTENANCE CO
592-ORDCO,WQ92AA,A,CO,"OD CO     AMMO",BQKY,JA4ZZ,G,592D ORDNANCE CO
594-MDM-TRKCO,WCPGAA,A,CO,"TC CO     MDM T",HDBL,UL444,R,TC CO     MDM T
596-MAINTCO,WE7LAA,A,CO,"CS CO     MAINT",MBME,HH6NN,R,596TH MAINTENANCE CO
597-MAINTCO,WHLMAA,A,CO,"CS CO     MAINT",HFTZ,HH6NN,R,597TH MAINTENANCE CO
6-TCBN,WCKKAA,A,HHD,"TC HHD    BN MO",HERT,U7H33,R,TC HHD    BN MO
632-MAINTCO,WB40AA,A,CO,"CS CO     MAINT",HKUZ,HH6NN,R,CS CO     MAINT
66-MDM-TRKCO,WCNXAA,A,CO,"TC CO     M TRK",MJPG,UL444,R,66TH TRANSPORTATION CO
68-MDM-TRKCO,WCNZAA,A,CO,"TC CO     M TRK",ECST,UL444,R,68TH TRANSPORTATION CO
69-ADABDE,WAVNAA,A,HHB,"AD BDE    HHB",HWX3,14422,R,69TH AIR DEFENSE ARTILLERY BDE HHB
69-CHEMCO,WA8RAA,A,CO,"CM CO",ANYF,GNB77,R,69TH CHEMICAL COMPANY
7-CSG,WH7MAA,A,HHC,"CS HHC    SUPPO",AVFD,NBF22,R,7TH SUPPORT GP HHC
7-TCGP-TPTDD,WD1HAA,A,HHC,"TC HHC    TRNS",HERT,UAT77,R,TC HHC    TRNS
70-ENGBN,WAZ8AA,A,BN,"EN BN     HVY D",HKBN,4YD77,R,70TH ENGINEER BATTALION
702-EODDET,WB54Y1,A,DET,"OD CO       FOR",FRBC,HFRAG,R,OD CO       FOR
71-MAINTBN,WB0RAA,A,HHD,"CS HHD    MNT D",YKLA,N21VV,R,71ST MAINTENANCE BN HHD
71-ORDCO,WET5AA,A,CO,"OD CO     RKT-M",LGKU,HWXNN,R,71ST ORDNANCE CO
77-MAINTCO,WB35AA,A,CO,"CS CO     MAINT",ASYB,HH6NN,R,77TH MAINTENANCE CO
900-POL-SUPPLYCO,WSTMAA,A,CO,"QM CO     PETRL",HCRL,J5TNN,G,900TH QUARTERMASTER CO
AVNBDE-1-AD,WDJUAA,A,HHC,"AV BDE    1ST A",GSYA,3E766,R,AVIATION BDE 1ST ARMORED DIV HHC
DISCOM-1-AD,WAPLAA,A,HHC,"AR HHC    DIV D",ULRK,NBTTT,R,1ST ARMORED DIV SUPPORT COMD HHC
DIVARTY-1-AD,WAPKAA,A,HHB,"AR HHB    DIV A",VTYA,1QTTT,R,1ST ARMORED DIV ARTILLERY HHB
