ASSEMBLY_ID,COMMUNITY_ID,ENTITY_ID,ATTRIBUTE_ID,ATTRIBUTE_VALUE
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,3-13-FABN-155,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,3-13-FABN-155,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,41-FABDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,41-FABDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,5-CORPS-ARTY,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,5-CORPS-ARTY,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,11-AVN-RGT,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,11-AVN-RGT,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,12-AVNBDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,12-AVNBDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,130-ENGBDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,130-ENGBDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,18-MPBDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,18-MPBDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,205-MIBDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,205-MIBDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,22-SIGBDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,22-SIGBDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,244-ENGBN-CBTHVY,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,244-ENGBN-CBTHVY,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,286-ADA-SCCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,286-ADA-SCCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,30-MEDBDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,30-MEDBDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,5-CORPS-REAR,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,5-CORPS-REAR,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,52-ENGBN-CBTHVY,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,52-ENGBN-CBTHVY,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,69-ADABDE,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-REAR-COMM,69-ADABDE,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,1-AD-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,1-AD-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,3-SUPCOM-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,3-SUPCOM-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,5-CORPS,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,5-CORPS,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,5-CORPS-ARTY-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,5-CORPS-ARTY-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,5-CORPS-REAR-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,5-CORPS-COMM,5-CORPS-REAR-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,125-ORDBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,125-ORDBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,181-TCBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,181-TCBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,240-SSCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,240-SSCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,316-POL-SUPPLYBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,316-POL-SUPPLYBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,317-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,317-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,377-HVY-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,377-HVY-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,41-POL-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,41-POL-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,452-ORDCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,452-ORDCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,51-MDM-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,51-MDM-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,515-POL-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,515-POL-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,529-ORDCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,529-ORDCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,541-POL-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,541-POL-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,561-SSBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,561-SSBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,565-RPRPTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,565-RPRPTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,584-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,584-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,597-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,597-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,7-CSG,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,7-CSG,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,71-MAINTBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,71-MAINTBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,71-ORDCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,71-ORDCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,900-POL-SUPPLYCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,7-CSG-COMM,900-POL-SUPPLYCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,1-1-CAVSQDN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,1-1-CAVSQDN,Role,Member
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,1-501-AVNBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,1-501-AVNBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,127-DASB,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,127-DASB,Role,Member
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,2-501-AVNBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,2-501-AVNBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,AVNBDE-1-AD,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,AVNBDE-1-AD-COMM,AVNBDE-1-AD,Role,Member
DEFAULT_COMMUNITY_CONFIG,DISCOM-1-AD-COMM,123-MSB,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,DISCOM-1-AD-COMM,123-MSB,Role,Member
DEFAULT_COMMUNITY_CONFIG,DISCOM-1-AD-COMM,DISCOM-1-AD,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,DISCOM-1-AD-COMM,DISCOM-1-AD,Role,Member
DEFAULT_COMMUNITY_CONFIG,DIVARTY-1-AD-COMM,1-94-FABN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,DIVARTY-1-AD-COMM,1-94-FABN,Role,Member
