RLN,SERVICE_CODE,UIC,ULC,UTC,UNIT_NAME,DESCRIPTION,NUM_PAX,ORIGIN_GEOLOC,ORIGIN_NAME,POE_GEOLOC,POE_NAME,POD_GEOLOC,POD_NAME,DEST_GEOLOC,DEST_NAME,RLD_ORIGIN,ALD_POE,EAD_POD,LAD_POD,RDD_DEST,BLANK
"FR11881","F",\N,\N,\N,\N,"IND SUPT PARTS",0.000000000000000000000000000000,"WMYX","Susquehanna Od Dp","RRRK","New York Port Emb","RCYT","Masqat","GDLN","Erzurum",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR11883","F",\N,\N,\N,\N,"ACFT ENG PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","RCYT","Masqat","GDLN","Erzurum",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR11885","F",\N,\N,\N,\N,"MAIL",0.000000000000000000000000000000,"PNQS","Maxwell Afb","RQNK","New Orleans","RCYT","Masqat","GDLN","Erzurum",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12000","F",\N,\N,\N,\N,"RATIONS",0.000000000000000000000000000000,"TYMX","Randolph Afb","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12001","F",\N,\N,\N,\N,"WATER",0.000000000000000000000000000000,"MPLS","Lackland Afb","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12003","F",\N,\N,\N,\N,"GENERAL SUPPLY",0.000000000000000000000000000000,"JUBJ","Maxwell Afb, Gunt","DKSD","Charleston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12005","F",\N,\N,\N,\N,"AIR AMMO",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","WMPT","Sunny Point","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12008","F",\N,\N,\N,\N,"GND SUPPORT MEI",0.000000000000000000000000000000,"MBPC","Kelly Afb","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12010","F",\N,\N,\N,\N,"ELECTRONIC MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12012","F",\N,\N,\N,\N,"TRAP",0.000000000000000000000000000000,"MUHJ","Langley Afb","SBEA","Norfolk","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12014","F",\N,\N,\N,\N,"TAC VEH MEI",0.000000000000000000000000000000,"FTFA","Eglin Afb","DKSD","Charleston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12016","F",\N,\N,\N,\N,"MISSLES MEI",0.000000000000000000000000000000,"DJDB","Chanute Afb","SBEA","Norfolk","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12018","F",\N,\N,\N,\N,"WEAPONS MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12020","F",\N,\N,\N,\N,"SPEC WEAPON MEI",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12022","F",\N,\N,\N,\N,"ACFT ENGINE MEI",0.000000000000000000000000000000,"WWYJ","Tinker Afb","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12025","F",\N,\N,\N,\N,"AIR REPAIR PART",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12027","F",\N,\N,\N,\N,"GND SUPT PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12029","F",\N,\N,\N,\N,"ADMIN VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12031","F",\N,\N,\N,\N,"ELECT PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12033","F",\N,\N,\N,\N,"TAC VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12035","F",\N,\N,\N,\N,"MISSILE PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12037","F",\N,\N,\N,\N,"WEAPONS PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12039","F",\N,\N,\N,\N,"SPEC WEAPON PAR",0.000000000000000000000000000000,"HCTL","Ft Bragg","DKSD","Charleston","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12041","F",\N,\N,\N,\N,"IND SUPT PARTS",0.000000000000000000000000000000,"WMYX","Susquehanna Od Dp","RRRK","New York Port Emb","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12043","F",\N,\N,\N,\N,"ACFT ENG PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12045","F",\N,\N,\N,\N,"MAIL",0.000000000000000000000000000000,"PNQS","Maxwell Afb","RQNK","New Orleans","LUTP","Juddah","LJYC","Incirlik Ab",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12166","F",\N,\N,\N,\N,"RATIONS",0.000000000000000000000000000000,"TYMX","Randolph Afb","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12167","F",\N,\N,\N,\N,"WATER",0.000000000000000000000000000000,"MPLS","Lackland Afb","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12169","F",\N,\N,\N,\N,"GENERAL SUPPLY",0.000000000000000000000000000000,"JUBJ","Maxwell Afb, Gunt","DKSD","Charleston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12171","F",\N,\N,\N,\N,"AIR AMMO",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","WMPT","Sunny Point","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12174","F",\N,\N,\N,\N,"GND SUPPORT MEI",0.000000000000000000000000000000,"MBPC","Kelly Afb","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12176","F",\N,\N,\N,\N,"ELECTRONIC MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12178","F",\N,\N,\N,\N,"TRAP",0.000000000000000000000000000000,"MUHJ","Langley Afb","SBEA","Norfolk","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12180","F",\N,\N,\N,\N,"TAC VEH MEI",0.000000000000000000000000000000,"FTFA","Eglin Afb","DKSD","Charleston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12182","F",\N,\N,\N,\N,"MISSLES MEI",0.000000000000000000000000000000,"DJDB","Chanute Afb","SBEA","Norfolk","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12184","F",\N,\N,\N,\N,"WEAPONS MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12186","F",\N,\N,\N,\N,"SPEC WEAPON MEI",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12188","F",\N,\N,\N,\N,"ACFT ENGINE MEI",0.000000000000000000000000000000,"WWYJ","Tinker Afb","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12191","F",\N,\N,\N,\N,"AIR REPAIR PART",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12193","F",\N,\N,\N,\N,"GND SUPT PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12195","F",\N,\N,\N,\N,"ADMIN VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12197","F",\N,\N,\N,\N,"ELECT PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12199","F",\N,\N,\N,\N,"TAC VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12201","F",\N,\N,\N,\N,"MISSILE PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12203","F",\N,\N,\N,\N,"WEAPONS PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12205","F",\N,\N,\N,\N,"SPEC WEAPON PAR",0.000000000000000000000000000000,"HCTL","Ft Bragg","DKSD","Charleston","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12207","F",\N,\N,\N,\N,"IND SUPT PARTS",0.000000000000000000000000000000,"WMYX","Susquehanna Od Dp","RRRK","New York Port Emb","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12209","F",\N,\N,\N,\N,"ACFT ENG PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12211","F",\N,\N,\N,\N,"MAIL",0.000000000000000000000000000000,"PNQS","Maxwell Afb","RQNK","New Orleans","LUTP","Juddah","LQCJ","Iskenderun",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12332","F",\N,\N,\N,\N,"RATIONS",0.000000000000000000000000000000,"TYMX","Randolph Afb","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12333","F",\N,\N,\N,\N,"WATER",0.000000000000000000000000000000,"MPLS","Lackland Afb","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12335","F",\N,\N,\N,\N,"GENERAL SUPPLY",0.000000000000000000000000000000,"JUBJ","Maxwell Afb, Gunt","DKSD","Charleston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12337","F",\N,\N,\N,\N,"AIR AMMO",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","WMPT","Sunny Point","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12340","F",\N,\N,\N,\N,"GND SUPPORT MEI",0.000000000000000000000000000000,"MBPC","Kelly Afb","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12342","F",\N,\N,\N,\N,"ELECTRONIC MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12344","F",\N,\N,\N,\N,"TRAP",0.000000000000000000000000000000,"MUHJ","Langley Afb","SBEA","Norfolk","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12346","F",\N,\N,\N,\N,"TAC VEH MEI",0.000000000000000000000000000000,"FTFA","Eglin Afb","DKSD","Charleston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12348","F",\N,\N,\N,\N,"MISSLES MEI",0.000000000000000000000000000000,"DJDB","Chanute Afb","SBEA","Norfolk","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12350","F",\N,\N,\N,\N,"WEAPONS MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12352","F",\N,\N,\N,\N,"SPEC WEAPON MEI",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12354","F",\N,\N,\N,\N,"ACFT ENGINE MEI",0.000000000000000000000000000000,"WWYJ","Tinker Afb","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12357","F",\N,\N,\N,\N,"AIR REPAIR PART",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12359","F",\N,\N,\N,\N,"GND SUPT PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12361","F",\N,\N,\N,\N,"ADMIN VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12363","F",\N,\N,\N,\N,"ELECT PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12365","F",\N,\N,\N,\N,"TAC VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12367","F",\N,\N,\N,\N,"MISSILE PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12369","F",\N,\N,\N,\N,"WEAPONS PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12371","F",\N,\N,\N,\N,"SPEC WEAPON PAR",0.000000000000000000000000000000,"HCTL","Ft Bragg","DKSD","Charleston","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12373","F",\N,\N,\N,\N,"IND SUPT PARTS",0.000000000000000000000000000000,"WMYX","Susquehanna Od Dp","RRRK","New York Port Emb","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12375","F",\N,\N,\N,\N,"ACFT ENG PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12377","F",\N,\N,\N,\N,"MAIL",0.000000000000000000000000000000,"PNQS","Maxwell Afb","RQNK","New Orleans","ADLR","Al Kuwayt","MMDN","Kuwait Intl",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12498","F",\N,\N,\N,\N,"RATIONS",0.000000000000000000000000000000,"TYMX","Randolph Afb","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12499","F",\N,\N,\N,\N,"WATER",0.000000000000000000000000000000,"MPLS","Lackland Afb","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12501","F",\N,\N,\N,\N,"GENERAL SUPPLY",0.000000000000000000000000000000,"JUBJ","Maxwell Afb, Gunt","DKSD","Charleston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12503","F",\N,\N,\N,\N,"AIR AMMO",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","WMPT","Sunny Point","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12506","F",\N,\N,\N,\N,"GND SUPPORT MEI",0.000000000000000000000000000000,"MBPC","Kelly Afb","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12508","F",\N,\N,\N,\N,"ELECTRONIC MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12510","F",\N,\N,\N,\N,"TRAP",0.000000000000000000000000000000,"MUHJ","Langley Afb","SBEA","Norfolk","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12512","F",\N,\N,\N,\N,"TAC VEH MEI",0.000000000000000000000000000000,"FTFA","Eglin Afb","DKSD","Charleston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12514","F",\N,\N,\N,\N,"MISSLES MEI",0.000000000000000000000000000000,"DJDB","Chanute Afb","SBEA","Norfolk","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12516","F",\N,\N,\N,\N,"WEAPONS MEI",0.000000000000000000000000000000,"AKWS","Anniston Army Dep","DKSD","Charleston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12518","F",\N,\N,\N,\N,"SPEC WEAPON MEI",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12520","F",\N,\N,\N,\N,"ACFT ENGINE MEI",0.000000000000000000000000000000,"WWYJ","Tinker Afb","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12523","F",\N,\N,\N,\N,"AIR REPAIR PART",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12525","F",\N,\N,\N,\N,"GND SUPT PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12527","F",\N,\N,\N,\N,"ADMIN VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12529","F",\N,\N,\N,\N,"ELECT PARTS",0.000000000000000000000000000000,"WXVD","Tobyhanna","RRRK","New York Port Emb","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12531","F",\N,\N,\N,\N,"TAC VEH PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12533","F",\N,\N,\N,\N,"MISSILE PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12535","F",\N,\N,\N,\N,"WEAPONS PARTS",0.000000000000000000000000000000,"UAUW","Red River Depot","LCMT","Houston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12537","F",\N,\N,\N,\N,"SPEC WEAPON PAR",0.000000000000000000000000000000,"HCTL","Ft Bragg","DKSD","Charleston","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
"FR12539","F",\N,\N,\N,\N,"IND SUPT PARTS",0.000000000000000000000000000000,"WMYX","Susquehanna Od Dp","RRRK","New York Port Emb","NFQA","Limassol","MUAF","Mus Air Base",\N,10.000000000000000000000000000000,35.000000000000000000000000000000,44.000000000000000000000000000000,45.000000000000000000000000000000
