RLN,SERVICE_CODE,UIC,ULC,UTC,UNIT_NAME,DESCRIPTION,NUM_PAX,ORIGIN_GEOLOC,ORIGIN_NAME,POE_GEOLOC,POE_NAME,POD_GEOLOC,POD_NAME,DEST_GEOLOC,DEST_NAME,RLD_ORIGIN,ALD_POE,EAD_POD,LAD_POD,RDD_DEST,BLANK
"SAC5C","A","WCL9AA","CO","UMBNN","329th TC HEAVY BOAT","TRANS HEAVY WATERCRAFT CO",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC6C","A","WCPMAA","CO","UKBNN","1098th TC MEDIUM BOAT","TRANS MED WATERCRAFT CO",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC7C","A","WCQQAA","TM","UAQEE","335th TC LSV","LOGISTICS SUPPORT VESSEL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAC7P","A","WCQQAA","TM","UAQEE","335th TC LSV","LOGISTICS SUPPORT VESSEL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAC8C","A","WCVYAA","PLT","UQU77","169th TC HVY CRANE","HEAVY CRANE PLATOON",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC9C","A","WHEGAA","TM","USZVV","276th TC AUTOMATED CARGO DOC","(1T) AUTOMATED CARGO DOC",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SACAC","A","WC3NAA","TM","UKZVV","393rd TC TML DET","TM DET",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SACBC","A","WCKYAA","HHC","UQH33","10th TC HHC","HHC  TRANS TERMINAL BN",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SACCC","A","WFJXAA","CO","UTD77","558th TC FLTG CFT GS MNT","TRANS FLTG CRAFT GS MNT C",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SACDC","A","WCL8AA","CO","UMBNN","97th TC HEAVY BOAT","TRANS HEAVY WATERCRAFT CO",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SACEC","A","WCL6AA","TM","UPN66","73rd TC FLOATING CRAFT","FLOATING CAUSEWAY",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SACLC","A","WD1HAA","HHC","UAT77","7th TC HHC  TRANS COMPOSITE","(2T) HHC  TRANS COMPOSITE GROU",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAEQC","A","WEQ7AA","TM","JPUTT","82nd QM  WTR PURIF TEAM 12000","(2C)  WTR PURIF TEAM 12000 GPH",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAHQC","A","WDFNAA","CO","UHBNN","567th TC TML SVC CO  CNTNR BB","(2T) T TML SVC CO  CNTNR BB",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAHSC","A","WCKKAA","HHD","U7H33","6th TC HHD  TRANS MOTOR TRANS","(2T) HHD  TRANS MOTOR TRANS BN",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAHUC","A","WCN6AA","CO","UL444","89th TC MDM TRK CO 40 FT CNR C","(2T) T MDM TRK CO 40 FT CNR CG",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAM6C","A","WC3KAA","TM","URZVV","390th TC TRANS CONTRACT SUPERV","(3T) TRANS CONTRACT SUPERVISIO",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SANBC","A","WC98AA","TM","USZVV","491st TC AUTOMATED CARGO DOC","(3T) AUTOMATED CARGO DOC",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAR5C","A","WCKAAA","CO","H1S77","19th QM PETRL PL   TML OP CO","(3T) QM PETRL PL   TML OP CO",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAUKC","A","WDZ1AA","TM","4DQNN","74th ENG DET LT WT DIVE TM","LT WT DIVING TM",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAULC","A","WHKYAA","TM","4DQNN","511th ENG DET LT WT DIVE TM","LT WT DIVING TM",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAUMC","A","WBFBAA","TM","4DQNN","544th ENG DET LT WT DIVE TM","LT WT DIVING TM",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAUNC","A","WE4PAA","TM","UPN66","331st TC FLOATING CRAFT","FLOATING CAUSEWAY",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAUPC","A","WHKXAA","TM","4L1ZZ","86th ENG DET","CNTRL SPT DIVE",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAUQC","A","WCZ1AA","TM","4L1ZZ","569th ENG DET","CNTRL SPT DIVE",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"3LAHZ","F",\N,"SQ","999BB",\N,"TSE 03  E  8C JT STARS (6 SF P)",6.000000000000000000000000000000,"UHHZ","Robins Afb","UHHZ","Robins Afb","AKRR","Akinci","AKRR","Akinci",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
"3LCNZ","F",\N,"SQ","999BB",\N,"TSE 03  E  8C JT STARS (9 SF P)",9.000000000000000000000000000000,"UHHZ","Robins Afb","UHHZ","Robins Afb","AKRR","Akinci","AKRR","Akinci",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
"3SR5C","F",\N,"SQ","3AJS3",\N,"TSE 03  E  8C JOINT STARS",0.000000000000000000000000000000,"UHHZ","Robins Afb","UHHZ","Robins Afb","AKRR","Akinci","AKRR","Akinci",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
"3SR5P","F",\N,"SQ","3AJS3",\N,"TSE 03  E  8C JOINT STARS",245.000000000000000000000000000000,"UHHZ","Robins Afb","UHHZ","Robins Afb","AKRR","Akinci","AKRR","Akinci",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
"3SR6C","F",\N,"SQ","3AJS3",\N,"TSE 03  E  8C JOINT STARS",0.000000000000000000000000000000,"UHHZ","Robins Afb","UHHZ","Robins Afb","AKRR","Akinci","AKRR","Akinci",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
"3SR6P","F",\N,"SQ","3AJS3",\N,"TSE 03  E  8C JOINT STARS",245.000000000000000000000000000000,"UHHZ","Robins Afb","UHHZ","Robins Afb","AKRR","Akinci","AKRR","Akinci",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
"JAAAC","J",\N,"CEP","6JC81",\N,"EUCOM PLANNING ELEMENT",0.000000000000000000000000000000,"WKLB","Stuttgart","WKKX","Stuttgart","EYLD","Cumaovasi","LRMC","Izmir",-30.000000000000000000000000000000,-28.000000000000000000000000000000,-26.000000000000000000000000000000,-21.000000000000000000000000000000,-21.000000000000000000000000000000
